标题,日期,板块,标的1,价格1,标的2,价格2,标的3,价格3,简述,推荐理由,预期,原文
【中金科技硬件】半导体设备速评,14:38,半导体设备,北方华创,¥335.15,,,,,北方华创二季度新签订单超预期，半导体设备板块迎交易性机会。,半导体设备板块经历资金轮动，北方华创新签订单反映国内先进工艺订单强劲，全年新签订单或超预期。,25年国内成熟制程需求旺盛，先进工艺有望增长，半导体设备板块短期交易性机会显现。,"【中金科技硬件】半导体设备速评

各位投资者好，今日半导体设备板块午后表现强势，引发市场关注。

近段时间我们路演明显感受到半导体设备板块处于一种人心思涨的状态。一方面，6月中上旬小幅回调过程中，一些极短期持仓的资金已经被洗出，具备上涨基础；另一方面，电子各细分赛道二季度热点不断，资金不断切换赛道，而设备板块还没有经历资金轮动。

我们对板块基本判断维持不变，25年国内成熟制程需求依然旺盛，先进工艺有望增长。短期，北方华创二季度新签订单超预期，其余半导体设备公司新签订单也保持旺盛增长，一定程度上反映了国内近段时间先进工艺订单较强，线性外推全年新签订单或存在超预期可能性，这也是目前市场交易的重要催化剂。

建议关注板块交易性机会。

欢迎联系我们团队交流！"
大金重工更新：Q2及今明两年业绩确定性强，远期成长空间大,14:38,风电,大金重工,¥33.02,,,,,大金重工Q2及今明两年业绩确定性强，海外项目占比高，远期成长空间大，产品结构向漂浮式过渡。,公司Q2海外海工到港项目充沛，业绩同比高增长确定性强；海外项目占利润60%-70%，交付可靠度高；产品结构向价值量更大的漂浮式过渡，自主运输船增厚潜在单位盈利。,预计2025、2026年净利润9.2、12.5亿元，对应PE分别为23.2X、17.1X，盈利预测有进一步上调可能。,"大金重工更新：Q2及今明两年业绩确定性强，远期成长空间大

# 近期大金重工涨幅明显，我们认为主要是：
（1）公司Q2海外海工到港项目充沛，Q2业绩同比高增长确定性强；
（2）公司海外项目占公司利润60%-70%，海外项目交付可靠度高，是风电里面少有的25、26年业绩确定性均比较强的公司，市场估值逐步向26年切换；
（3）远期成长逻辑较强：除了受益欧洲单桩类产品增长外，公司在产品结构上逐步望向价值量更大、空间更大的漂浮式过渡，还有自主运输船增厚潜在单位盈利。

# Q2发货&盈利测算
Q2海外海工到港项目梳理：Nordseecluster A阶段、WAK项目、sofia海塔、GE海塔，合计总重量预计4万吨以上，单吨净利预计约3500元/吨；24Q2公司确收的海外海工项目约3.3万吨，单吨净利约1800元，公司25Q2海外海工到港项目充沛，叠加Q2欧元升值，# 初步测算25Q2归母净利有望达到3亿或以上。

25年交付海外海工项目：DBB项目、sofia海塔、丹麦Thor、德国NSC项目A阶段、INCH CAPE海风项目、波罗的海急单，预计发运总量超过20万吨，# 确收量预计16万吨；海外项目执行可靠性强。

26年交付海外海工项目：德国NSC项目B阶段、锁产协议项目、沃旭海风项目、英国某项目海塔，合计近25万吨，# 预计确收25万吨。
-----------------
公司短中长期逻辑兼备：
（1）	Q2短期业绩确定性强，25、26年业绩可预见程度高；
（2）	中远期来看，产品结构上逐步望向价值量更大、空间更大的漂浮式过渡，还有自主运输船增厚潜在单位盈利；近期计划建设欧洲本地化建立总装厂也可一定程度规避此前市场担忧的贸易风险，强化本地化优势，且可以从生产流程、运费角度降本。

我们预计公司2025、2026年净利润9.2、12.5亿元，对应PE分别为23.2X、17.1X，且盈利预测有进一步上调可能，建议重点关注。"
【天风建材新材料】继中材科技、宏和科技后，当前位置建议关注国际复材,14:38,新材料,国际复材,¥4.14,生益科技,¥31.00,台光,,国际复材lowdk2供货量预计26年月均50-60万米，年化600-700万米，价格130元+，27年净利润约2.5亿。,国际复材通过自动化降本和材料配方优化，单吨能耗降低，产品价格区间20-70万元/吨，2025年LDK业务整体利润目标3000-4000万元。,2025年LDK布增量目标为百吨级，2024年电子布均价约3.4元/米，当前价格升至3.8-3.9元/米，预计Q2-Q3量价环比继续提升。,"【天风建材新材料】继中材科技、宏和科技后，当前位置建议关注国际复材

目前lowdk2供货量20-30万米，下游客户生益科技、台光、联茂、斗山等。26年出货量月均50-60万米，年化600-700万米，价格130元+，27年lowdk2净利润约2.5亿。

一、二代电子布low-dk2
1. 产能与投资
- 珠海基地：收购珠海工控产线后整合，目前有48个坩埚台位（漏板+拉丝机），采用坩埚法生产，年布产量约500万米，累计投资3-4亿元，单个坩埚投资近千万元。
- 长寿基地：有小电炉池窑生产LDK纱，产能较小。
- 扩产规划：珠海原计划96个台位，未来扩产体量及工艺仍在研讨，2025年LDK布增量目标为百吨级。
2. 技术与成本
- 生产工艺包括池窑法（仅长寿小电炉）和坩埚法（珠海主力），成品率约60%（行业优秀水平）。
- 新产线通过自动化降本（人工减少超50%）和材料配方优化，单吨能耗降低。
3. 价格与利润
- 产品价格区间20-70万元/吨，2025年LDK业务整体利润目标3000-4000万元。
- 向宏和供纱量约几十吨/年，属小批量供应。
4. 客户与市场
- 重点客户为生益科技（前期已达成战略合作），下游台光、联茂、斗山等企业正在推进合作。

二、普通电子布
1. 产能情况
- 总电子布产能约2亿米/年，厚布与薄布占比各约50%。
- 薄布以1080/2116系列为主，厚布（如7628）占比较少，应用场景偏向汽车等高端领域（技术要求高于工业电控柜）。
2. 价格趋势
- 2024年电子布均价约3.4元/米（含税），当前价格升至3.8-3.9元/米，预计Q2-Q3量价环比继续提升。

三、电子纱
1. 产能规划
- 现有电子细纱产能8万吨，2025年计划新增8.6万吨，年底前点火，新产线聚焦超细/极细纱（占比约50%），G75产品产量更高。
2. 价格变化
- 2024年细纱均价约8000元/吨，当前升至1.1万元/吨，价格上涨受风电需求旺盛（“十四五”收官年政策拉动）及行业成本底线驱动。"
【国金电新】AIDC跟踪点评：美取消EDA禁令，强化国内数据中心资本开支确定性,14:38,数据中心基础设施建设,麦格米特,¥49.90,欧陆通,¥119.41,中恒电气,¥14.79,美国取消EDA禁令，利好国内数据中心资本开支，推荐关注电源、柴发、液冷等相关标的。,禁令解除为国内芯片行业提供发展空间，催化AIDC建设资本开支，利好数据中心基础设施建设相关环节。,预计国内大厂在AIDC建设上的资本开支节奏及强度将进一步提升，相关标的业绩有望增长。,"【国金电新】AIDC跟踪点评：美取消EDA禁令，强化国内数据中心资本开支确定性

事件： 7月4日，Cadence公众号发布关于美国解除近期对华出口限制的声明，确认美国商务部工业与安全局已撤销其于2025年5月23日发出的信函中规定的出口限制，公司正在根据美国出口法律恢复受影响客户对我们软件和技术支持的访问权限；其他两大EDA巨头西门子、新思科技也已证实，正在恢复客户的访问。

EDA软件被行业称为“芯片之母”，是芯片IC设计不可或缺的重要部分，根据产业链反馈，禁令颁布后，国内芯片设计企业主要通过境外企业周转/绿色版/国产替代等方式支持工作，然而当前头部三家EDA厂商全球市场份额仍高达80%。

我们认为，此次禁令接触更多是为国内后续芯片行业发展提供更大的想象空间，# 从而催化国内大厂在AIDC建设上的资本开支节奏及强度，进一步利好数据中心基础设施建设相关环节及标的。

投资建议：

电源：国内高性能芯片的发展加速有望带动算力需求增长，有望提升对高效率电源的需求，建议关注单位价值量有望提升的AC/DC电源及HVDC设备，# 麦格米特、欧陆通、中恒电气、禾望电气、科华数据 等。

柴发：Q2潍柴业绩超预期彰显柴发业绩兑现，H2仍可期待大厂26年招标（同比预期双位数增长）、省地运营商数据中心建设、大厂及三方欧洲&东南亚数据中心建设等，预计仍催化较大行情；淡季低点建议布局：弹性最大标的# 潍柴重机（量或展望1500～1800台，价H2上浮10～20万元/台）、# 玉柴国际、# 科泰电源 等。

液冷：针对全球算力需求提升和“新基建”绿色发展使命带来的液冷环节投资机会，建议关注：1）液冷一体化方案提供商：#  申菱环境、同飞股份、高澜股份； 2）高价值量/国产化率较低的细分环节零部件供应商：# 科创新源、川环科技、飞龙股份、飞荣达。

联系人：姚遥/宇文甸/李轩宇/胡媛媛/曾爽"
重视数据中心板块投资机会,14:38,数据中心,润泽科技,¥49.04,万国数据,HK$32.20,世纪互联,HK$0.27,数据中心板块因REITS项目发行和Q2上架进度乐观表现优异，润泽科技和万国数据REITS项目估值显著，世纪互联上调EBITDA增速。,数据中心REITS项目改善现金流和资产负债情况，降低融资成本，为项目扩张提供资金支持；Q2上架进度超预期，AI带动需求旺盛，业绩兑现保障强。,REITS项目估值对应16.9倍、16倍2025年EV/EBITDA，5%现金分派率；世纪互联EBITDA增速上调至14%-16%，行业需求旺盛，业绩兑现有保障。,"重视数据中心板块投资机会

🎁近日万国数据、润泽科技等IDC板块标的市场表现优异，我们认为主要受到：1）两单数据中心公募REITS项目顺利完成发行定价，为二级市场提供有效的估值参考；2）Q2行业上架进度乐观，世纪互联上调全年业绩指引；3）下半年行业招标节奏或将提速等积极因素影响。

[太阳]关于数据中心REITS的发行：
此前我们多次强调数据中心REITS项目顺利发行对于行业定价的积极引导作用，近日万国数据/润泽科技REITS项目顺利完成定价工作，分别估值24亿元、45亿元，对应16.9倍、16倍2025年EV/EBITDA，对应5%左右现金分派率。我们认为REITS发行后：1）一方面将改善上市公司的现金流与资产负债情况，降低融资成本，为进一步项目扩张提供资金支持；2）另一方面也回答了成熟数据中心资产该如何估值的问题，成为IDC公司估值提升的催化剂。

[太阳]关于行业基本面——Q2上架进度乐观：
近日世纪互联发布公告，将2025年EBITDA增速由11%-14%上调至14%-16%，我们认为公司业绩指引上调主要受益于新项目上架进度超预期。近期我们也与多家行业内公司交流，新建数据中心项目上架进度均比较乐观，侧面反映出AI带动下数据中心行业的需求仍然旺盛，1H25业绩兑现有保障。

[太阳]相关公司包括：润泽科技、奥飞数据、光环新网、万国数据、世纪互联、数据港等。"
【天风电新】蔚蓝锂芯BBU更新：功率提升，空间扩容-0704,14:06,锂电池,蔚蓝锂芯,¥13.56,,,,,蔚蓝锂芯GB300下半年出货，BBU功率和ASP提升，预计25年主业利润7亿，BBU业务潜在利润3.5亿。,公司GB300相比GB200功率明显提升，BBU方案电芯需求增加，项目进展顺利，预计将带来显著收入和利润增长。,25年主业预计7亿利润，BBU业务潜在3.5亿利润，公司市值看245亿，约60%空间。,"【天风电新】蔚蓝锂芯BBU更新：功率提升，空间扩容-0704
———————————
GB300下半年逐步开始出货，标配的BBU链预计陆续有新进展。算力提升是趋势，BBU功率需求、ASP也在提升。

GB300相比GB200功率明显提升，对应到BBU方案，1）GB200：单机柜24组BBU，单组BBU电芯85颗，单机柜对应电芯约2000颗；2）GB 300：单机柜48组BBU，单组BBU电芯73颗，单机柜电芯约3500颗。

随着算力升级，PSU与BBU的功率需求均在上升。GB300单个PSU的设计功率大约是5.5kw（上一代3kw），预计未来向8.5kw、10kw迭代。

进展方面，公司跟B相关的几个项目进展顺利，其中一项目年底会产生收入，另两个项目也在进入下一阶段。

BBU空间：假设GB 300出货5万台，单台3500颗BBU电芯，对应BBU电芯1.75亿颗。2美元/颗（14元RMB），单柜价值量约5万，对应空间25亿元。

考虑普通数据中心有4.5亿颗左右BBU电芯+AIDC 1.75亿颗电芯，合计6.25亿颗，对应市场空间88亿元。

假设蔚蓝20%市占率，对应收入约17.5亿元，20%净利率对应净利润3.5亿元。

# 投资建议
25年主业预计7亿利润，当前PE 22X。BBU业务方面，公司一直重点对接台达、新普等，且项目进展顺利，多极耳、全极耳产品等待逐步落地。

主业7e，20X PE对应市值140亿；BBU 潜在3.5亿利润，30X，对应市值105e，若仅考虑BBU业务，公司看245亿，约60%空间，维持“重点推荐”。
———————————
欢迎交流：孙潇雅/薛舟"
世纪华通250704更新,14:38,手游与数据中心,世纪华通,¥11.90,,,,,世纪华通旗下点点互动手游表现卓越，全球收入排名上升；同时，公司参与上海和深圳数据中心项目，AI+IDC业务有望成为第二成长曲线。,点点互动手游在全球收入排行榜中表现亮眼，多款游戏在海外市场取得优异成绩；公司深度参与数据中心项目，AI+IDC业务潜力大，且国内传奇IP问题解决，治理改善，投资减值风险出清。,预计世纪华通手游业务将持续增长，AI+IDC业务有望贡献显著收入；国内传奇IP份额提升，公司治理和财务状况改善，为股价提供支撑。,"世纪华通250704更新

☀点点表现持续亮眼。根据Sensor Tower，5月点点互动《<e type=""web"" href=""https%3A%2F%2Fwx.zsxq.com%2Fmweb%2Fviews%2Fweread%2Fsearch.html%3Fkeyword%3D%E6%97%A0%E5%B0%BD%E5%86%AC%E6%97%A5"" title=""%E6%97%A0%E5%B0%BD%E5%86%AC%E6%97%A5"" style=""book"" />》表现卓越，在全球手游收入排行榜中上升一位至第二名；《<e type=""web"" href=""https%3A%2F%2Fwx.zsxq.com%2Fmweb%2Fviews%2Fweread%2Fsearch.html%3Fkeyword%3DKingshot"" title=""Kingshot"" style=""book"" />》高增长延续，在全球收入增长榜上排名第四，收入排名跃升36位至第29名；此外，点点在三消合成领域发力，目前已推出卡车题材的《<e type=""web"" href=""https%3A%2F%2Fwx.zsxq.com%2Fmweb%2Fviews%2Fweread%2Fsearch.html%3Fkeyword%3DTruck%20Star"" title=""Truck%20Star"" style=""book"" />》、寻物解谜题材的《Dream Detective: Merge Game》、农场题材《Family Farm Match》和烹饪旅行题材的《Tasty Travels》等多款游戏。根据APPMagic，6月《<e type=""web"" href=""https%3A%2F%2Fwx.zsxq.com%2Fmweb%2Fviews%2Fweread%2Fsearch.html%3Fkeyword%3DWhiteout%20Survival"" title=""Whiteout%20Survival"" style=""book"" />》和《<e type=""web"" href=""https%3A%2F%2Fwx.zsxq.com%2Fmweb%2Fviews%2Fweread%2Fsearch.html%3Fkeyword%3DKingshot"" title=""Kingshot"" style=""book"" />》分列中国手游出海榜的第一和第三位。点点在全球爆款产品端再下一城～

☀AI+IDC有望贡献第二成长曲线。公司深度参与上海数据中心项目和深圳数据中心项目，当前市值对AIDC业务的反应并不充分。

☀国内传奇份额有望提升，投资减值风险出清，完成财报调整。1）IP层面，国内传奇的独占性授权问题已解决；2）治理改善，盛趣第一代传奇制作人彭程回归，出任盛趣游戏总裁，战略聚焦传奇IP。3）公司在24年年报计提了较多投资减值（包括中手游、IDC板块），25年减值风险大幅减少。4）公司在24年报完成历史报表的调整溯源，计划以总价1元回购注销126,627,700 股，占回购注销前公司总股本的比例为 1.70%。"
有友食品回调点评：,14:06,食品饮料,有友食品,¥13.06,,,,,有友食品Q2收入预计同比增60%+，山姆渠道销售亮眼，产品矩阵完善助力多渠道发展。,公司基本面向好，Q2收入预计高增，产品矩阵持续完善，线上和线下渠道均有巨大潜力，量贩零食合作加深。,预计Q2单季度实现收入4.5亿+，同比增速60%+，利润有望实现四五十以上增长。,"有友食品回调点评：

[玫瑰] 公司今日股价异动，我们判断更多是资金层面因素影响，基本面向好趋势不改，Q2收入预计实现高增（收入60%+）。

[玫瑰]根据渠道反馈，山姆6月整体销售额近5KW量级（其中无骨鸭掌销量2820万、轻享时光700万，未来有望达到千万级别、酸汤双脆首月销售额1200万，且有进一步爬升趋势），#预计Q2单季度实现收入4.5亿+（同比增速60%+），业绩持续高增，净利率扰动因素较Q1少，利润有望实现四五十以上增长。

[玫瑰] 产品矩阵持续完善，#红利有望从山姆向其他渠道延伸。我们认为公司除山姆渠道外，传统渠道/量贩/线上未来均有巨大潜力，有望实现多渠道共振发展：1）线上渠道鸭脚筋产品持续放量，后续有望上新更多实验性新品（25M5线上同比+114%）；2）线下渠道H2将导入鸭脚筋、凤爪等热销产品，通过强产品力进一步提升渠道渗透率；3）量贩零食自身持续拓店叠加公司合作加深，将持续贡献新动能。维持强烈推荐！

[玫瑰]路演和反路演，欢迎联系CT食饮"
今天关于半导体设备两个驱动：,13:17,半导体设备,北方华创,¥335.15,中微,¥180.95,沐曦,¥132.95,北方华创和中微接获大单，沐曦等GPU公司Q3大规模出货，龙芯中科发布全国产供应链CPU，半导体设备景气度高。,半导体设备行业受益于先进制程设备大单、国产GPU大规模出货预期及全国产供应链CPU发布，景气度提升。,大摩预测2025年全球WFE市场规模增长至1090亿美元，中国为主要贡献者，Foundry/Logic设备支出新增约50亿美元。,"今天关于半导体设备两个驱动：

一个是北方华创接了一笔先进制程设备的大单子，Q2之前就有说华创，中微接了不少存储扩产的单子。之前国产算力建设在Q4昙花一现，随后因为买不到卡陷入停滞，沐曦，摩尔线程申请上市，包括昆仑芯，壁仞科技，都有指引Q3开始大规模出货，这些GPU，大于300亿晶体管，肯定都需要借助国产的先进制程，包括之前龙芯中科发布的CPU，宣称全部国产供应链。

Q2目前能见度，景气度最好的除了AI供应链，PCB，光模块，其次就是半导体设备。费城半导体历史新高，不仅仅只是AI芯片在涨，一些传统的专注于车规，工业，消费类的半导体也在偷偷新高，比如TI，意法，安森美，联电，日月光。存储已经率先涨价，DDR4的波动可谓非常疯狂，市场也在押注半导体周期的复苏。

另外一个是大摩研报，2025年全球WFE预测从同比增长2%上修至6%，中国贡献最主要。大摩将2025年全球WFE市场规模预测从1040亿美元上调至1090亿美元，同比由增长2%调升至6%，2026年预测略微上调至1100亿美元。此次上调主要归因于中国市场，特别是在Foundry/Logic设备支出方面新增约50亿美元"
🛫 大智慧：稳定币+券商互联网 新龙，继续强 call,13:14,互联网金融,大智慧,¥11.10,湘财智慧,¥10.40,,,大智慧因Robinhood美股代币化及湘财智慧合并，成为互联网金融新龙头，具备券商牌照和高月活用户。,Robinhood的美股代币化策略和湘财智慧的合并为大智慧带来了券商牌照和高月活用户，增强了其在互联网金融领域的竞争力。,预计大智慧将受益于全球美股代币化趋势和湘财智慧的合并，市值和用户活跃度有望进一步提升。,"🛫 大智慧：稳定币+券商互联网 新龙，继续强 call

💡 核心观点：Robinhood 美股代币化、湘大合并新互金平台、千万月活稳定币新龙高潜力。

1️⃣ Robinhood 美股代币化之路。近日，美 Robinhood 提出打造“美股代币化” 及 SpaceX/OpenAI 私募代币申购，再次打响全球 <e type=""hashtag"" hid=""51184848525544"" title=""%23%E7%A8%B3%E5%AE%9A%E5%B8%81%2BRWA%23"" /> 竞赛，市值突破新高；

2️⃣ 千万月活，全牌照回归。3月28日，公司公告换股方案，按湘财智慧 1:1.27 换股方案合并，具券商牌照、网点资质，后者/东财月活 1053.5/1514.18万；为东财 65-70%；此举将打造 “互金券商” 新龙头；

3️⃣ 香港：证券交易与 RWA 潜在新机。公司子公司 <e type=""hashtag"" hid=""28814141252241"" title=""%23%E8%89%BE%E9%9B%85%E6%96%AF%EF%BC%88AAS%EF%BC%89%23"" /> 为香港及周边地区证券、期货提供交易系统及结算系统解决方案，有望参与如 <e type=""hashtag"" hid=""48812121545248"" title=""%23%E7%A8%B3%E5%AE%9A%E5%B8%81%E5%8F%8ARWA%23"" /> 交易系统，受益国君国际等牌照商。

严重低估龙头，建议重视！

☎️ 联系：HCJSJ."
[烟花]美联新材：苊烯（EX）电子材料应用于高端覆铜板，获得海外大客户认可实现批量出口,12:45,电子材料,美联新材,¥11.29,,,,,美联新材的苊烯电子材料应用于高端覆铜板，获海外大客户认可并实现批量出口，全国独家生产。,公司是全国首家且唯一能生产苊烯单体并将其应用到电子材料领域的企业，已获得国外高端覆铜板头部客户认可，实现批量出口，且正在扩产以满足下游需求。,公司已建成EX电子材料年产能200吨，根据下游需求持续扩产中，预计将进一步扩大市场份额和提升业绩。,"[烟花]美联新材：苊烯（EX）电子材料应用于高端覆铜板，获得海外大客户认可实现批量出口

[太阳]控股孙公司辉虹科技生产的苊烯（EX）电子材料主要应用于高频覆铜板的电绝缘层，供给下游企业应用于M8及以上，终端应用于大数据运算中心、AI服务器/手机/PC、半导体芯片封装、云计算、5G与6G通讯设备、无人驾驶汽车等领域。

[太阳]目前公司是全国首家且唯一能生产苊烯单体并将其应用到电子材料领域的企业。公司已获得获得国外高端覆铜板头部客户认可，并已实现批量出口，已建成EX电子材料年产能200吨，根据下游需求持续扩产中。

[太阳]公司是色母粒龙头，亚洲最大的白色母粒制造商，是国内少数能同时批量化生产白色、黑色、彩色母粒和功能母粒的企业之一。正推进建设一期年产30万吨全流程色母粒、60万吨硫酸亚铁以及80万吨硫酸的项目，降低成本，资源整合。

[玫瑰]欢迎交流~"
东方港湾董事长但斌日前在出席一场高峰论坛时，以“扎根中国，走向世界”为题，对下半年机会进行了最新分享。主要观点如下：,13:05,人工智能,英伟达,HK$15.61,Meta,,Palantir,,但斌看好人工智能时代的长期投资机会，特别推荐英伟达、Meta和Palantir作为改变世界的公司。,但斌认为技术进步是推动全球财富增长的主因，人工智能时代将比前三个技术时代更具颠覆性，持续时间更长，创造的财富更多。,但斌预判2025年纳指可能上涨20%左右，人工智能相关公司如英伟达、Meta和Palantir将长期受益于技术进步。,"东方港湾董事长但斌日前在出席一场高峰论坛时，以“扎根中国，走向世界”为题，对下半年机会进行了最新分享。主要观点如下：
1、独立思考，独立的精神非常重要。4月份的时候美股暴跌、英伟达暴跌，当时网上羞辱我的人很多，当然今天至少目前他们鸦雀无声了。如果英伟达再跌，可能这批人又来了。
2、恐慌指数超过50，每次都是最好的历史性机会，这一次也是如此。今年4月标普500两天跌了10.5%，我在4月4号那天就写：跌幅已排在历史第五，过去9次，每次大跌后的一年、三年、五年回报率相当惊人。我说“美股目前这种暴跌走势，很容易见历史大底！坚持就是胜利！”
3、个人预判，2025年大概率会像处于互联网时代的1998年，当年受亚洲金融危机影响盘中曾最多跌30%，但到年终收市上涨；估计2025年纳指很有可能最终上涨20%左右。
4、全力以赴迎接一个新时代。我一直认为加息、减息，衰退等是次要原因，真正的主因，你看纳斯达克从71年成立到现在，推动全球财富增长最重要的原因是什么呢？是技术进步。
5、前三个时代都是十年以上的周期，那么人工智能时代大概率也是十年以上，不可能两年结束。如果AI时代是比前三个时代更具颠覆的一个技术进步，理论上它应该持续的时间更久，创造的财富更多。
6、要投资于“改变世界的公司”和“不被世界改变的公司”。过去我们主要选择的方向是不被世界改变的。今天东方港湾从中国走向全世界，现在的方向就是改变世界的。选择比努力重要”，投资要到波澜壮阔的方向上去选择。
7、人工智能的最大受益者是谁？毫无疑问就是类似于英伟达，Meta等相关的这样一些公司。我个人的体会还是要投“轻资产、高盈利”的商业模式。
8、你要怎样去赚到100倍呢？一定要用产业的眼光，要用10年、20年、30年的眼光。互联网的周期大概是30年，智能手机也20年了。从长视角看，我们仅仅处于AI爆发的第一天，一切就是刚刚开始。
9、对于东方港湾来说，我们主要还是集中在AI基础上，当然在垂直应用层，像Palantir，东方港湾也曾经持有过，这个方向它还是进可攻，退可守的。
10、如果我们能够活到像芒格，像巴菲特的年龄，如果再从业四十年，是有可能产生一个奇迹的。但是这个奇迹一定是我们扎根中国，放眼全球，从全球的角度，跟全世界最伟大的企业共同成长，这样可能性会更大一点"
